Model,Horizon,Metric,Mean,SD,N,Mean_SD
cnn,horizon_15,mae,4.806817626953125,0.14297437213153,5,4.807 ± 0.143
cnn_lstm,horizon_15,mae,4.4964193344116214,0.14770076012538877,5,4.496 ± 0.1477
dcnn_rbilstm,horizon_15,mae,4.519100952148437,0.1171647037668298,5,4.519 ± 0.1172
lstm,horizon_15,mae,4.5361785888671875,0.0802095045349173,5,4.536 ± 0.08021
proposed,horizon_15,mae,4.1845324516296385,0.08878983524430208,5,4.185 ± 0.08879
proposed_no_ta,horizon_15,mae,4.527873516082764,0.06594824943905804,5,4.528 ± 0.06595
cnn,horizon_15,mape,4725856.6,28187.48356629233,5,4.726e+06 ± 2.819e+04
cnn_lstm,horizon_15,mape,4726949.8,16888.353015466015,5,4.727e+06 ± 1.689e+04
dcnn_rbilstm,horizon_15,mape,4769878.7,18520.944315153047,5,4.77e+06 ± 1.852e+04
lstm,horizon_15,mape,4841693.2,28615.537284401984,5,4.842e+06 ± 2.862e+04
proposed,horizon_15,mape,4883865.8,64790.83971866702,5,4.884e+06 ± 6.479e+04
proposed_no_ta,horizon_15,mape,4664677.3,31127.430137259966,5,4.665e+06 ± 3.113e+04
cnn,horizon_15,nrmse,0.04979401603036462,0.00030486415429017353,5,0.04979 ± 0.0003049
cnn_lstm,horizon_15,nrmse,0.04855114754415745,0.0002775955214901212,5,0.04855 ± 0.0002776
dcnn_rbilstm,horizon_15,nrmse,0.04846874226264738,0.0002280812613149944,5,0.04847 ± 0.0002281
lstm,horizon_15,nrmse,0.048783138436670107,0.00015545824115454002,5,0.04878 ± 0.0001555
proposed,horizon_15,nrmse,0.04787772880144144,0.00021426921187111915,5,0.04788 ± 0.0002143
proposed_no_ta,horizon_15,nrmse,0.0492212808790379,0.000275921959119208,5,0.04922 ± 0.0002759
cnn,horizon_15,r2,0.9673994421958924,0.00039913965567385377,5,0.9674 ± 0.0003991
cnn_lstm,horizon_15,r2,0.9690066933631897,0.00035461636413410935,5,0.969 ± 0.0003546
dcnn_rbilstm,horizon_15,r2,0.9691120862960816,0.0002913077525296171,5,0.9691 ± 0.0002913
lstm,horizon_15,r2,0.9687103509902955,0.0001997038942132785,5,0.9687 ± 0.0001997
proposed,horizon_15,r2,0.9698608040809631,0.0002699098242906955,5,0.9699 ± 0.0002699
proposed_no_ta,horizon_15,r2,0.96814523935318,0.00035777529866481863,5,0.9681 ± 0.0003578
cnn,horizon_15,rmse,11.353819764794704,0.06951382789543305,5,11.35 ± 0.06951
cnn_lstm,horizon_15,rmse,11.070426178402029,0.06329615021594281,5,11.07 ± 0.0633
dcnn_rbilstm,horizon_15,rmse,11.051636476575972,0.052006119191477636,5,11.05 ± 0.05201
lstm,horizon_15,rmse,11.12332375507181,0.03544692699508916,5,11.12 ± 0.03545
proposed,horizon_15,rmse,10.916876100690489,0.048856754418960084,5,10.92 ± 0.04886
proposed_no_ta,horizon_15,rmse,11.223227131391514,0.06291455164167087,5,11.22 ± 0.06291
